id;age;competition;datetime;days_since_last_run;dt_actual_off;encuentro;equipo_local;equipo_visitante;es_fila;event;event_id;full_description;id_competition;id_local;id_partido;id_visitante;in_play;jockey_name;lastpricetraded;latest_taken;nombre;number_of_active_runners;number_of_winners;odds_back;odds_back_1;odds_back_2;odds_back_3;odds_lay;odds_lay_1;odds_lay_2;odds_lay_3;official_rating;partido;player;scheduled_off;selection;selection_id;sex_type;simbolo;size_back_1;size_back_2;size_back_3;size_lay_1;size_lay_2;size_lay_3;sortPriority;sports_id;sports_id_event;status;status_selection;trainer_name;type;ultima;unico;unico_evento;volume_matched;volume_matched_selection;weight_units;weight_unitsform;weight_value;win_flag;yyyymmdd;event_id_selection
3337925;;Elite Friendlies;1659899933.007577;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.05;1659899928.839;fila;2.0;1.0;1.04;1.04;1.03;1.02;1.06;1.06;1.09;1.11;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;804.43;940.43;725.83;762.36;6.88;10.12;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;8592.17;8061.2;;;;0.0;20220807.0;1.201838321
3337926;;Elite Friendlies;1659899933.010079;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;20.0;1659899928.839;fila;2.0;1.0;20.0;20.0;19.5;19.0;22.0;22.0;23.0;24.0;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;47.15;49.01;41.24;7.0;7.0;6.0;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;8592.17;530.97;;;;0.0;20220807.0;1.201838321
3340134;;Elite Friendlies;1659900016.225476;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.23;1659900011.088;fila;2.0;1.0;1.24;1.24;1.23;1.22;1.3;1.3;1.31;1.32;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;359.0;339.79;383.0;3.51;284.0;297.0;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;8596.59;8065.62;;;;0.0;20220807.0;1.201838321
3340135;;Elite Friendlies;1659900016.225476;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;20.0;1659900011.088;fila;2.0;1.0;4.3;4.3;4.2;4.1;5.2;5.2;5.3;5.4;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;82.0;84.0;96.0;45.0;44.0;43.0;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;8596.59;530.97;;;;0.0;20220807.0;1.201838321
3340694;;Elite Friendlies;1659900038.413776;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.25;1659900036.757;fila;2.0;1.0;1.25;1.25;1.24;1.23;1.29;1.29;1.3;1.31;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;347.8;359.0;339.79;68.29;363.11;284.0;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;8598.35;8067.38;;;;0.0;20220807.0;1.201838321
3340695;;Elite Friendlies;1659900038.413776;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;20.0;1659900036.757;fila;2.0;1.0;4.4;4.4;4.3;4.2;5.0;5.0;5.1;5.2;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;21.06;82.0;153.59;53.92;48.0;45.0;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;8598.35;530.97;;;;0.0;20220807.0;1.201838321
3341437;;Elite Friendlies;1659900066.197242;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.26;1659900060.475;fila;2.0;1.0;1.26;1.26;1.25;1.24;1.29;1.29;1.3;1.31;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;331.0;347.8;359.0;338.14;326.09;305.09;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;8612.35;8081.38;;;;0.0;20220807.0;1.201838321
3341438;;Elite Friendlies;1659900066.197242;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;20.0;1659900060.475;fila;2.0;1.0;4.5;4.5;4.4;4.3;4.8;4.8;4.9;5.0;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;92.79;199.47;132.61;56.0;51.0;53.92;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;8612.35;530.97;;;;0.0;20220807.0;1.201838321
3341610;;Elite Friendlies;1659900071.769953;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.26;1659900071.117;fila;2.0;1.0;1.26;1.26;1.25;1.24;1.28;1.28;1.29;1.3;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;331.0;347.8;359.0;71.71;363.0;326.09;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;8686.85;8081.38;;;;0.0;20220807.0;1.201838321
3341611;;Elite Friendlies;1659900071.772454;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;4.8;1659900071.117;fila;2.0;1.0;4.5;4.5;4.4;4.3;4.8;4.8;4.9;5.0;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;92.79;199.47;132.61;18.75;51.0;53.92;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;8686.85;605.47;;;;0.0;20220807.0;1.201838321
3342100;;Elite Friendlies;1659900088.553161;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.26;1659900087.418;fila;2.0;1.0;1.26;1.26;1.25;1.24;1.28;1.28;1.29;1.3;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;329.0;347.8;359.0;80.0;359.23;326.09;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;8690.85;8085.38;;;;0.0;20220807.0;1.201838321
3342101;;Elite Friendlies;1659900088.553161;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;4.8;1659900087.418;fila;2.0;1.0;4.6;4.6;4.5;4.4;4.9;4.9;5.0;5.1;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;10.35;140.98;189.11;51.0;53.92;48.0;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;8690.85;605.47;;;;0.0;20220807.0;1.201838321
3342708;;Elite Friendlies;1659900110.698814;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.26;1659900109.915;fila;2.0;1.0;1.26;1.26;1.25;1.24;1.28;1.28;1.29;1.3;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;337.0;347.8;359.0;61.1;304.0;305.0;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;8715.81;8085.38;;;;0.0;20220807.0;1.201838321
3342709;;Elite Friendlies;1659900110.701313;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;4.8;1659900109.915;fila;2.0;1.0;4.6;4.6;4.5;4.4;4.8;4.8;4.9;5.0;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;10.35;68.0;74.0;45.52;54.0;53.92;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;8715.81;630.43;;;;0.0;20220807.0;1.201838321
3342848;;Elite Friendlies;1659900116.233996;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.26;1659900115.113;fila;2.0;1.0;1.26;1.26;1.25;1.24;1.28;1.28;1.29;1.3;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;337.0;347.8;359.0;96.96;304.0;305.0;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;8741.33;8085.38;;;;0.0;20220807.0;1.201838321
3342849;;Elite Friendlies;1659900116.236484;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;4.8;1659900115.113;fila;2.0;1.0;4.6;4.6;4.5;4.4;4.8;4.8;4.9;5.0;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;10.35;68.0;74.0;32.76;54.0;53.92;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;8741.33;655.95;;;;0.0;20220807.0;1.201838321
3343008;;Elite Friendlies;1659900121.904213;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.26;1659900120.338;fila;2.0;1.0;1.25;1.25;1.24;1.23;1.28;1.28;1.29;1.3;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;347.8;359.0;339.79;96.96;304.0;305.0;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;8766.83;8085.38;;;;0.0;20220807.0;1.201838321
3343009;;Elite Friendlies;1659900121.904213;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;4.8;1659900120.338;fila;2.0;1.0;4.6;4.6;4.5;4.4;4.9;4.9;5.0;5.1;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;21.13;68.0;74.0;54.0;53.92;48.0;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;8766.83;681.45;;;;0.0;20220807.0;1.201838321
3343529;;Elite Friendlies;1659900138.622313;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.25;1659900137.656;fila;2.0;1.0;1.25;1.25;1.24;1.23;1.27;1.27;1.28;1.29;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;346.97;359.0;339.79;72.22;370.1;304.0;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;8768.49;8087.03;;;;0.0;20220807.0;1.201838321
3343530;;Elite Friendlies;1659900138.624792;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;4.8;1659900137.656;fila;2.0;1.0;4.7;4.7;4.6;4.5;5.0;5.0;5.1;5.2;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;20.35;78.35;68.0;53.92;48.0;45.0;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;8768.49;681.45;;;;0.0;20220807.0;1.201838321
