id;age;competition;datetime;days_since_last_run;dt_actual_off;encuentro;equipo_local;equipo_visitante;es_fila;event;event_id;full_description;id_competition;id_local;id_partido;id_visitante;in_play;jockey_name;lastpricetraded;latest_taken;nombre;number_of_active_runners;number_of_winners;odds_back;odds_back_1;odds_back_2;odds_back_3;odds_lay;odds_lay_1;odds_lay_2;odds_lay_3;official_rating;partido;player;scheduled_off;selection;selection_id;sex_type;simbolo;size_back_1;size_back_2;size_back_3;size_lay_1;size_lay_2;size_lay_3;sortPriority;sports_id;sports_id_event;status;status_selection;trainer_name;type;ultima;unico;unico_evento;volume_matched;volume_matched_selection;weight_units;weight_unitsform;weight_value;win_flag;yyyymmdd;event_id_selection
4049989;;Turkish Super League;1659985694.013415;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;4.3;1659985693.375;fila;2.0;1.0;4.1;4.1;4.0;3.95;4.4;4.4;4.5;4.6;;fenerbahce v umraniyespor_20220808;under 2.5 goals;1659984516.0;under 2.5 goals;47972;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;114.88;32.39;32.39;196.66;1058.44;1.99;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201696576202208e+17;1_over/under 2.5 goals_20220808184800;38135.41;16582.6;;;;0.0;20220808.0;1.201648604
4049990;;Turkish Super League;1659985694.013415;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;1.3;1659985693.375;fila;2.0;1.0;1.28;1.28;1.26;1.25;1.3;1.3;1.51;1.75;;fenerbahce v umraniyespor_20220808;over 2.5 goals;1659984516.0;over 2.5 goals;47973;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;357.14;7.44;100.0;729.16;4.74;12.77;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201696577202208e+17;1_over/under 2.5 goals_20220808184800;38135.41;21552.8;;;;0.0;20220808.0;1.201648604
4050089;;Turkish Super League;1659985699.336107;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;4.3;1659985697.671;fila;2.0;1.0;4.1;4.1;4.0;3.95;4.3;4.3;4.4;4.5;;fenerbahce v umraniyespor_20220808;under 2.5 goals;1659984516.0;under 2.5 goals;47972;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;114.88;32.39;32.39;92.36;196.66;1058.44;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201696576202208e+17;1_over/under 2.5 goals_20220808184800;39095.68;16798.42;;;;0.0;20220808.0;1.201648604
4050090;;Turkish Super League;1659985699.336107;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;1.3;1659985697.671;fila;2.0;1.0;1.29;1.29;1.28;1.25;1.32;1.32;1.51;1.75;;fenerbahce v umraniyespor_20220808;over 2.5 goals;1659984516.0;over 2.5 goals;47973;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;2.4;357.14;100.0;291.53;4.74;12.77;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201696577202208e+17;1_over/under 2.5 goals_20220808184800;39095.68;22297.25;;;;0.0;20220808.0;1.201648604
4050179;;Turkish Super League;1659985704.616272;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;4.3;1659985704.035;fila;2.0;1.0;4.2;4.2;4.1;4.0;5.1;5.1;5.2;40.0;;fenerbahce v umraniyespor_20220808;under 2.5 goals;1659984516.0;under 2.5 goals;47972;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;16.57;300.88;136.39;98.0;94.0;1.69;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201696576202208e+17;1_over/under 2.5 goals_20220808184800;40077.36;17326.29;;;;0.0;20220808.0;1.201648604
4050180;;Turkish Super League;1659985704.618799;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;1.3;1659985704.035;fila;2.0;1.0;1.28;1.28;1.25;1.24;1.3;1.3;1.32;1.33;;fenerbahce v umraniyespor_20220808;over 2.5 goals;1659984516.0;over 2.5 goals;47973;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;364.45;100.0;718.0;386.49;883.52;545.0;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201696577202208e+17;1_over/under 2.5 goals_20220808184800;40077.36;22751.06;;;;0.0;20220808.0;1.201648604
4050281;;Turkish Super League;1659985709.928968;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;4.5;1659985708.914;fila;2.0;1.0;4.2;4.2;4.0;3.95;5.0;5.0;5.1;40.0;;fenerbahce v umraniyespor_20220808;under 2.5 goals;1659984516.0;under 2.5 goals;47972;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;32.39;136.39;141.39;2.03;98.0;1.69;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201696576202208e+17;1_over/under 2.5 goals_20220808184800;45252.82;19059.38;;;;0.0;20220808.0;1.201648604
4050282;;Turkish Super League;1659985709.928968;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;1.29;1659985708.914;fila;2.0;1.0;1.29;1.29;1.28;1.25;1.33;1.33;1.34;1.51;;fenerbahce v umraniyespor_20220808;over 2.5 goals;1659984516.0;over 2.5 goals;47973;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;461.18;359.91;100.0;545.0;563.12;4.74;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201696577202208e+17;1_over/under 2.5 goals_20220808184800;45252.82;26193.43;;;;0.0;20220808.0;1.201648604
4050388;;Turkish Super League;1659985715.244194;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;4.4;1659985713.625;fila;2.0;1.0;4.2;4.2;4.1;4.0;4.8;4.8;4.9;5.0;;fenerbahce v umraniyespor_20220808;under 2.5 goals;1659984516.0;under 2.5 goals;47972;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;32.39;227.39;136.39;117.0;113.0;101.0;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201696576202208e+17;1_over/under 2.5 goals_20220808184800;45288.04;19084.76;;;;0.0;20220808.0;1.201648604
4050389;;Turkish Super League;1659985715.246685;;1659984519.252843;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;1.0;;1.3;1659985713.625;fila;2.0;1.0;1.3;1.3;1.28;1.26;1.32;1.32;1.33;1.34;;fenerbahce v umraniyespor_20220808;over 2.5 goals;1659984516.0;over 2.5 goals;47973;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184800;281.69;367.62;627.0;562.0;545.0;560.0;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201696577202208e+17;1_over/under 2.5 goals_20220808184800;45288.04;26203.27;;;;0.0;20220808.0;1.201648604
